trip_scheduledArrival,trip_realtimeArrival,trip_arrivalDelay,trip_scheduledDeparture,trip_realtimeDeparture,trip_departureDelay,trip_realtime,trip_realtimeState,trip_serviceDay,trip_trip.gtfsId,trip_trip.route.shortName,stop_gtfsId,stop_name
46620,46620,0,46620,46620,0,False,SCHEDULED,1631912400,HSL:2510_20210917_La_2_1247,510,HSL:2222202,Otaniemensilta
47040,47040,0,47040,47040,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1300,52,HSL:2222202,Otaniemensilta
46260,46260,0,46260,46260,0,False,SCHEDULED,1631912400,HSL:7192V_20210917_La_1_1240,192V,HSL:2222205,Hanasaari
54720,54720,0,54720,54720,0,False,SCHEDULED,1631912400,HSL:7192T_20210917_La_1_1500,192T,HSL:2222205,Hanasaari
63960,63960,0,63960,63960,0,False,SCHEDULED,1631912400,HSL:7192V_20210917_La_1_1740,192V,HSL:2222205,Hanasaari
67680,67680,0,67680,67680,0,False,SCHEDULED,1631912400,HSL:7192T_20210917_La_1_1835,192T,HSL:2222205,Hanasaari
83580,83580,0,83580,83580,0,False,SCHEDULED,1631912400,HSL:7192V_20210917_La_1_2305,192V,HSL:2222205,Hanasaari
87060,87060,0,87060,87060,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2400,108N,HSL:2222204,Otaranta
89760,89760,0,89760,89760,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2445,108N,HSL:2222204,Otaranta
92460,92460,0,92460,92460,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2530,108N,HSL:2222204,Otaranta
95160,95160,0,95160,95160,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2615,108N,HSL:2222204,Otaranta
97860,97860,0,97860,97860,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2700,108N,HSL:2222204,Otaranta
86940,86940,0,86940,86940,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2400,108N,HSL:2222207,Sähkömies
89640,89640,0,89640,89640,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2445,108N,HSL:2222207,Sähkömies
92340,92340,0,92340,92340,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2530,108N,HSL:2222207,Sähkömies
95040,95040,0,95040,95040,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2615,108N,HSL:2222207,Sähkömies
97740,97740,0,97740,97740,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2700,108N,HSL:2222207,Sähkömies
86940,86940,0,86940,86940,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2400,108N,HSL:2222206,Otakaari
89640,89640,0,89640,89640,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2445,108N,HSL:2222206,Otakaari
92340,92340,0,92340,92340,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2530,108N,HSL:2222206,Otakaari
95040,95040,0,95040,95040,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2615,108N,HSL:2222206,Otakaari
97740,97740,0,97740,97740,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2700,108N,HSL:2222206,Otakaari
45060,45263,203,45060,45343,283,True,UPDATED,1631912400,HSL:2111_20210917_La_2_1153,111,HSL:2222209,Teekkarikylä
47040,45675,-1365,47040,45675,-1365,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1216,52,HSL:2222209,Teekkarikylä
45840,45817,-23,45840,45817,-23,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1156,52,HSL:2222209,Teekkarikylä
45960,45942,-18,45960,45980,20,True,UPDATED,1631912400,HSL:2111_20210917_La_2_1208,111,HSL:2222209,Teekkarikylä
47640,46265,-1375,47640,46265,-1375,True,UPDATED,1631912400,HSL:1052_20210917_La_1_1226,52,HSL:2222209,Teekkarikylä
87000,87000,0,87000,87000,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2400,108N,HSL:2222208,Teekkarikylä
89700,89700,0,89700,89700,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2445,108N,HSL:2222208,Teekkarikylä
92400,92400,0,92400,92400,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2530,108N,HSL:2222208,Teekkarikylä
95100,95100,0,95100,95100,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2615,108N,HSL:2222208,Teekkarikylä
97800,97800,0,97800,97800,0,False,SCHEDULED,1631912400,HSL:2108N_20210917_La_2_2700,108N,HSL:2222208,Teekkarikylä
45300,45743,443,45300,45743,443,True,UPDATED,1631912400,HSL:2550_20210917_La_2_1149,550,HSL:1285159,Käpytie
45960,46144,184,45960,46144,184,True,UPDATED,1631912400,HSL:2550_20210917_La_2_1159,550,HSL:1285159,Käpytie
46560,46673,113,46560,46673,113,True,UPDATED,1631912400,HSL:2550_20210917_La_2_1209,550,HSL:1285159,Käpytie
47160,47164,4,47160,47199,39,True,UPDATED,1631912400,HSL:2550_20210917_La_2_1219,550,HSL:1285159,Käpytie
47760,47781,21,47760,47781,21,True,UPDATED,1631912400,HSL:2550_20210917_La_2_1229,550,HSL:1285159,Käpytie
45660,45827,167,45660,45827,167,True,UPDATED,1631912400,HSL:2550_20210917_La_1_1221,550,HSL:1285158,Käpytie
46260,46320,60,46260,46320,60,True,UPDATED,1631912400,HSL:2550_20210917_La_1_1231,550,HSL:1285158,Käpytie
46860,46860,0,46860,46860,0,True,UPDATED,1631912400,HSL:2550_20210917_La_1_1241,550,HSL:1285158,Käpytie
47460,47460,0,47460,47460,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_1_1251,550,HSL:1285158,Käpytie
48060,48060,0,48060,48060,0,False,SCHEDULED,1631912400,HSL:2550_20210917_La_1_1301,550,HSL:1285158,Käpytie
45600,45600,0,45600,45600,0,False,SCHEDULED,1631912400,HSL:1052_20210917_La_2_1240,52,HSL:2222210,Teekkarikylä
45900,45900,0,45900,45900,0,False,SCHEDULED,1631912400,HSL:2111_20210917_La_1_1245,111,HSL:2222210,Teekkarikylä
